GateV,DrainV,VssV,BodyV,VddV,DrainI,GateI,VssI,BodyI,VddI,TempK,GNDV
0.0,0.0,0,-0.4,0.8,2.8e-12,-3.76e-12,-1.95e-12,-2.51e-12,2.7e-13,8.5,0
0.02,0.0,0,-0.4,0.8,2.900000000000001e-13,-1.294e-11,-4.83e-12,-2.4500000000000007e-12,3.900000000000001e-13,8.5,0
0.04,0.0,0,-0.4,0.8,2.6000000000000002e-12,-4.87e-12,-1.123e-11,-2.9900000000000004e-12,-1e-13,8.5,0
0.06,0.0,0,-0.4,0.8,7.200000000000002e-13,-2.6e-13,-6.91e-12,-3.0900000000000004e-12,-5.6e-13,8.5,0
0.08,0.0,0,-0.4,0.8,2.6800000000000007e-12,6.240000000000001e-12,-4.6400000000000004e-12,-3.4400000000000007e-12,-9.700000000000001e-13,8.5,0
0.1,0.0,0,-0.4,0.8,-5.500000000000001e-13,1.313e-11,-5.300000000000002e-13,-3.82e-12,-9.200000000000001e-13,8.5,0
0.12,0.0,0,-0.4,0.8,2.79e-12,8.670000000000001e-12,7.53e-12,-2.85e-12,-8.400000000000001e-13,8.5,0
0.14,0.0,0,-0.4,0.8,6.500000000000002e-13,1.106e-11,4.140000000000001e-12,-2.72e-12,5e-14,8.5,0
0.16,0.0,0,-0.4,0.8,1.6200000000000004e-12,2.59e-12,7.200000000000002e-13,-2.4800000000000003e-12,1.2000000000000002e-13,8.5,0
0.18,0.0,0,-0.4,0.8,2.0500000000000004e-12,6.420000000000001e-12,1.6800000000000001e-12,-3.1e-12,-1e-13,8.5,0
0.2,0.0,0,-0.4,0.8,7.600000000000002e-13,2.49e-12,-2.75e-12,-3.35e-12,-3.900000000000001e-13,8.5,0
0.22,0.0,0,-0.4,0.8,2.42e-12,1.108e-11,-4.43e-12,-3.8e-12,-6.6e-13,8.5,0
0.24,0.0,0,-0.4,0.8,-2.0700000000000007e-12,1.345e-11,-1.9e-12,-3.3200000000000004e-12,-9.700000000000001e-13,8.5,0
0.26,0.0,0,-0.4,0.8,-1.4400000000000001e-12,2.098e-11,1.1050000000000002e-11,-2.9400000000000004e-12,-2.300000000000001e-13,8.5,0
